Чубушник венечный;https://flor.ingrad.ru/lesoparkovy/philadelphus-coronaria
Спирея японская Широбана;https://flor.ingrad.ru/lesoparkovy/spiraea-japonica
Сосна горная;https://flor.ingrad.ru/lesoparkovy/pinus-mugo
Сирень обыкновенная;https://flor.ingrad.ru/lesoparkovy/syringa-vulgaris
Пузыреплодник калинолистный;https://flor.ingrad.ru/lesoparkovy/physocarpus-opulifolius
Ирга Ламарка;https://flor.ingrad.ru/lesoparkovy/amelanchier-lamarckii
Дерен отпрысковый Келсеи;https://flor.ingrad.ru/lesoparkovy/cornus-stolonifera-(sericea)-kelseyi
Гортензия метельчатая Бобо;https://flor.ingrad.ru/lesoparkovy/hydrangea-paniculata-bobo
Боярышник сливолистный;https://flor.ingrad.ru/lesoparkovy/crataegus-prunifolia
Сосна обывновенная;https://flor.ingrad.ru/lesoparkovy/pinus-sylvestris
Рябина обыкновенная;https://flor.ingrad.ru/lesoparkovy/sorbus-aucuparia
Орех серый;https://flor.ingrad.ru/lesoparkovy/juglans-cinerea
Липа крупнолистная;https://flor.ingrad.ru/lesoparkovy/tilia-platyphyllos
Клён серебристый;https://flor.ingrad.ru/lesoparkovy/acer-platanoides
Дуб красный;https://flor.ingrad.ru/lesoparkovy/quercus-rubra
Берёза повислая;https://flor.ingrad.ru/lesoparkovy/betula-pendula
Спирея Тунберга;https://flor.ingrad.ru/kutuzovgrad1/spiraea-thunbergii
Сосна горная Mops;https://flor.ingrad.ru/kutuzovgrad1/pinus-mugo-mops
Пузыреплодник калинолистный Diabolo;https://flor.ingrad.ru/kutuzovgrad1/physocarpus-opulifolius-diabolo
Дёрен белый Elegantissima;https://flor.ingrad.ru/kutuzovgrad1/cornus-alba-elegantissima
Дёрен белый;https://flor.ingrad.ru/kutuzovgrad1/cornus-alba
Липа мелколистная Greenspire;https://flor.ingrad.ru/kutuzovgrad1/tilia-cordata-greenspire
Чубушник венечный;https://flor.ingrad.ru/vavilove/philadelphus-coronaria
Форзиция европейская;https://flor.ingrad.ru/vavilove/forsythia-europaea
Спирея японская Goldflame;https://flor.ingrad.ru/vavilove/spiraea-japonica-goldflame
Сирень обыкновенная;https://flor.ingrad.ru/vavilove/syringa-vulgaris
Гортензия метельчатая;https://flor.ingrad.ru/vavilove/hydrangea-paniculata
Боярышник обыкновенный;https://flor.ingrad.ru/vavilove/crataegus-laevigata
Яблоня гибридная Mokum;https://flor.ingrad.ru/vavilove/malus-mokum
Черемуха обыкновенная;https://flor.ingrad.ru/vavilove/prunus-padus
Клён друммонди;https://flor.ingrad.ru/vavilove/acer-platanoides-drummondi
Дуб красный;https://flor.ingrad.ru/sp/quercus-rubra
Клён остролистный;https://flor.ingrad.ru/vavilove/acer-platanoides
